"id_sector","tot_per_cen","opp_cen","opa_cen","temp_cen","desop","const_cen","tot_viv_cen","id_prov","dpa_despro","dpa_descan","dpa_despar","tot_viv_prec","tot_per_prec","ocup_prec","temp_prec","desop_prec","const_prec","colec_prec","id_can","id_par"
"030158999026",115,33,2,14,3,0,52,"03","CAÑAR","AZOGUES","SAN MIGUEL",49,73,21,11,15,2,0,"0301","030158"
"030160001001",244,75,0,33,13,1,122,"03","CAÑAR","AZOGUES","TADAY",120,251,71,27,17,5,0,"0301","030160"
"030160001002",187,61,0,38,5,2,106,"03","CAÑAR","AZOGUES","TADAY",103,216,59,27,15,2,0,"0301","030160"
"030160999001",112,29,2,33,18,0,82,"03","CAÑAR","AZOGUES","TADAY",81,156,43,33,4,1,0,"0301","030160"
"030160999002",55,13,0,7,15,1,36,"03","CAÑAR","AZOGUES","TADAY",35,51,14,18,3,0,0,"0301","030160"
"030160999003",44,12,0,23,1,2,38,"03","CAÑAR","AZOGUES","TADAY",40,65,16,21,2,1,0,"0301","030160"
"030160999004",62,17,0,13,4,1,35,"03","CAÑAR","AZOGUES","TADAY",34,75,22,12,0,0,0,"0301","030160"
"030160999005",61,22,0,30,1,1,54,"03","CAÑAR","AZOGUES","TADAY",54,71,20,30,1,3,0,"0301","030160"
"030160999006",75,33,0,30,10,3,76,"03","CAÑAR","AZOGUES","TADAY",72,77,29,42,1,0,0,"0301","030160"
"030160999007",24,10,0,9,11,2,32,"03","CAÑAR","AZOGUES","TADAY",36,25,12,22,1,1,0,"0301","030160"
"030160999008",28,15,0,30,8,0,53,"03","CAÑAR","AZOGUES","TADAY",52,24,12,31,6,3,0,"0301","030160"
"030160999009",45,18,0,10,9,0,37,"03","CAÑAR","AZOGUES","TADAY",39,75,25,14,0,0,0,"0301","030160"
"030160999010",54,20,0,10,12,1,43,"03","CAÑAR","AZOGUES","TADAY",42,57,18,20,1,3,0,"0301","030160"
"030160999011",29,15,0,13,20,0,48,"03","CAÑAR","AZOGUES","TADAY",48,51,21,26,0,1,0,"0301","030160"
"030250001001",403,113,0,25,27,2,167,"03","CAÑAR","BIBLIAN","BIBLIAN",152,436,102,25,14,10,1,"0302","030250"
"030250001002",374,108,0,34,27,6,175,"03","CAÑAR","BIBLIAN","BIBLIAN",183,286,97,22,52,12,0,"0302","030250"
"030250001003",289,86,0,8,23,2,119,"03","CAÑAR","BIBLIAN","BIBLIAN",111,231,70,24,13,4,0,"0302","030250"
"030250001004",309,101,0,4,36,3,144,"03","CAÑAR","BIBLIAN","BIBLIAN",130,275,85,24,18,3,0,"0302","030250"
"030250001005",398,122,2,18,25,1,168,"03","CAÑAR","BIBLIAN","BIBLIAN",161,360,99,30,23,9,0,"0302","030250"
"030250001006",217,75,1,11,27,4,118,"03","CAÑAR","BIBLIAN","BIBLIAN",124,277,75,21,26,2,0,"0302","030250"
"030250001007",344,113,0,8,55,2,178,"03","CAÑAR","BIBLIAN","BIBLIAN",174,335,106,38,22,7,1,"0302","030250"
"030250001008",248,74,0,20,26,5,125,"03","CAÑAR","BIBLIAN","BIBLIAN",128,239,76,26,24,2,0,"0302","030250"
"030250001009",338,109,0,23,38,4,174,"03","CAÑAR","BIBLIAN","BIBLIAN",163,363,114,28,12,9,0,"0302","030250"
